ORIGIN_AIRPORT_ID,Year,Origin Airport Code,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs),Origin City Name,Origin Airport Name
10011,2022,1G4,964,"11,951","14,057",85,12.3973029,14.58195021,59.03630705,59.00878588,"2,919,600",0,0,964,"11,951","14,057",85,12.3973029,14.58195021,59.03630705,59.00878588,"2,919,600",0,0,,,,,,,,,,,,,,,,,,,,,,,Peach Springs (1G4),Grand Canyon West (1G4)
10011,2023,1G4,746,"9,861","11,907",82.8,13.21849866,15.96112601,59.11796247,59.06246831,"2,444,600",0,0,746,"9,861","11,907",82.8,13.21849866,15.96112601,59.11796247,59.06246831,"2,444,600",0,0,,,,,,,,,,,,,,,,,,,,,,,Peach Springs (1G4),Grand Canyon West (1G4)
10011,2024M1-10,1G4,800,"9,676","12,614",76.7,12.095,15.7675,52.40875,52.07275734,"2,564,800",0,0,800,"9,676","12,614",76.7,12.095,15.7675,52.40875,52.07275734,"2,564,800",0,0,,,,,,,,,,,,,,,,,,,,,,,Peach Springs (1G4),Grand Canyon West (1G4)
10012,2023,1N7,1,3,8,37.5,3,8,191,191,"3,450",0,0,1,3,8,37.5,3,8,191,191,"3,450",0,0,,,,,,,,,,,,,,,,,,,,,,,Blairstown (1N7),Blairstown Airport (1N7)
10012,2024M1-10,1N7,1,4,8,50,4,8,281,281,"3,450",0,0,1,4,8,50,4,8,281,281,"3,450",0,0,,,,,,,,,,,,,,,,,,,,,,,Blairstown (1N7),Blairstown Airport (1N7)
10014,2017,A01,5,4,22,18.2,0.8,4.4,35,35,"5,450",0,0,5,4,22,18.2,0.8,4.4,35,35,"5,450",0,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2018,A01,12,5,38,13.2,0.416666667,3.166666667,35,35,"19,332","10,199",0,12,5,38,13.2,0.416666667,3.166666667,35,35,"19,332","10,199",0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2019,A01,5,2,15,13.3,0.4,3,35,35,"3,750",0,0,5,2,15,13.3,0.4,3,35,35,"3,750",0,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2020,A01,1,0,3,0,0,3,35,,750,0,0,1,0,3,0,0,3,35,,750,0,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2021,A01,24,32,163,19.6,1.333333333,6.791666667,35,35,"39,518",0,0,24,32,163,19.6,1.333333333,6.791666667,35,35,"39,518",0,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2022,A01,34,55,249,22.1,1.617647059,7.323529412,35,35,"61,702",0,0,34,55,249,22.1,1.617647059,7.323529412,35,35,"61,702",0,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2023,A01,48,79,319,24.8,1.645833333,6.645833333,35,35,"82,262",805,0,48,79,319,24.8,1.645833333,6.645833333,35,35,"82,262",805,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10014,2024M1-10,A01,47,76,336,22.6,1.617021277,7.14893617,35,35,"82,125",200,0,47,76,336,22.6,1.617021277,7.14893617,35,35,"82,125",200,0,,,,,,,,,,,,,,,,,,,,,,,Fairbanks/Ft. Wainwright (A01),Blair Lake (A01)
10015,2014,A02,19,21,107,19.6,1.105263158,5.631578947,66.52631579,64.9047619,"25,348",166,69,19,21,107,19.6,1.105263158,5.631578947,66.52631579,64.9047619,"25,348",166,69,,,,,,,,,,,,,,,,,,,,,,,Deadmans Bay (A02),Deadmans Bay Airport (A02)
10015,2015,A02,19,16,97,16.5,0.842105263,5.105263158,65.73684211,65.125,"26,608",126,0,19,16,97,16.5,0.842105263,5.105263158,65.73684211,65.125,"26,608",126,0,,,,,,,,,,,,,,,,,,,,,,,Deadmans Bay (A02),Deadmans Bay Airport (A02)
10015,2016,A02,16,18,48,37.5,1.125,3,72,72,"22,062",0,0,16,18,48,37.5,1.125,3,72,72,"22,062",0,0,,,,,,,,,,,,,,,,,,,,,,,Deadmans Bay (A02),Deadmans Bay Airport (A02)
10015,2021,A02,1,0,0,,0,0,"5,123",,"242,000","218,696",0,,,,,,,,,,,,1,0,0,,0,0,"5,123",,"242,000","218,696",0,,,,,,,,,,,,Deadmans Bay (A02),Deadmans Bay Airport (A02)
10016,2014,A03,161,370,805,46,2.298136646,5,122.6956522,123,"209,392",464,0,161,370,805,46,2.298136646,5,122.6956522,123,"209,392",464,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2015,A03,223,428,"1,119",38.2,1.919282511,5.01793722,123.2869955,123,"290,024",0,0,223,428,"1,119",38.2,1.919282511,5.01793722,123.2869955,123,"290,024",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2016,A03,27,7,135,5.2,0.259259259,5,122.3333333,122,"35,100",0,0,27,7,135,5.2,0.259259259,5,122.3333333,122,"35,100",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2017,A03,51,9,256,3.5,0.176470588,5.019607843,121.0980392,106.6666667,"66,200",0,0,51,9,256,3.5,0.176470588,5.019607843,121.0980392,106.6666667,"66,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2018,A03,63,17,311,5.5,0.26984127,4.936507937,118.3492063,78.70588235,"80,050",0,0,63,17,311,5.5,0.26984127,4.936507937,118.3492063,78.70588235,"80,050",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2019,A03,45,24,229,10.5,0.533333333,5.088888889,114.3111111,85.58333333,"57,350",0,0,45,24,229,10.5,0.533333333,5.088888889,114.3111111,85.58333333,"57,350",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2020,A03,22,40,120,33.3,1.818181818,5.454545455,94.81818182,76,"26,250",0,0,22,40,120,33.3,1.818181818,5.454545455,94.81818182,76,"26,250",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2021,A03,91,171,500,34.2,1.879120879,5.494505495,92.05494505,75.74269006,"106,100",0,0,91,171,500,34.2,1.879120879,5.494505495,92.05494505,75.74269006,"106,100",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2022,A03,57,136,319,42.6,2.385964912,5.596491228,91.50877193,76.39705882,"69,500",0,0,57,136,319,42.6,2.385964912,5.596491228,91.50877193,76.39705882,"69,500",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2023,A03,25,46,139,33.1,1.84,5.56,88.4,76.69565217,"28,900",0,0,25,46,139,33.1,1.84,5.56,88.4,76.69565217,"28,900",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10016,2024M1-10,A03,56,103,316,32.6,1.839285714,5.642857143,92.42857143,76,"69,200",0,0,56,103,316,32.6,1.839285714,5.642857143,92.42857143,76,"69,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Hallo Bay (A03),Hallo Bay Airport (A03)
10017,2014,A04,2,2,8,25,1,4,76,76,"2,784",0,0,2,2,8,25,1,4,76,76,"2,784",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2015,A04,1,2,4,50,2,4,76,76,"1,392",0,0,1,2,4,50,2,4,76,76,"1,392",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2016,A04,2,0,12,0,0,6,76,,"2,448",0,0,2,0,12,0,0,6,76,,"2,448",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2017,A04,6,7,33,21.2,1.166666667,5.5,69,81,"6,750",261,36,6,7,33,21.2,1.166666667,5.5,69,81,"6,750",261,36,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2018,A04,3,6,18,33.3,2,6,81,81,"3,600",0,0,3,6,18,33.3,2,6,81,81,"3,600",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2019,A04,3,0,15,0,0,5,76.33333333,,"3,150",0,0,3,0,15,0,0,5,76.33333333,,"3,150",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
